../problem/test_case.txt
Menyelesaikan Testcase 1 (4 Jobs, 3 Machines)...

=== HASIL PARETO OPTIMAL FRONT ===
Makespan     | Total Flow Time | Urutan Kerja (Job Sequence)
-------------------------------------------------------------------------
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
24.0         | 71.0            | 3 1 2 0 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
25.0         | 68.0            | 1 0 2 3 
